2025-05-26 11:11:16,919 INFO    MainThread:1 [wandb_setup.py:_flush():76] Configure stats pid to 1
2025-05-26 11:11:16,920 INFO    MainThread:1 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2025-05-26 11:11:16,920 INFO    MainThread:1 [wandb_setup.py:_flush():76] Loading settings from /usr/local/offline_training/wandb/settings
2025-05-26 11:11:16,920 INFO    MainThread:1 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2025-05-26 11:11:16,920 INFO    MainThread:1 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'TeenagerDataset_fine_tuning_ori.py', 'program': 'TeenagerDataset_fine_tuning_ori.py'}
2025-05-26 11:11:16,920 INFO    MainThread:1 [wandb_init.py:_log_setup():461] Logging user logs to ./wandb/offline-run-20250526_111116-1f73e28c6a1d4c9dbc8ee7bb3606808f/logs/debug.log
2025-05-26 11:11:16,920 INFO    MainThread:1 [wandb_init.py:_log_setup():462] Logging internal logs to ./wandb/offline-run-20250526_111116-1f73e28c6a1d4c9dbc8ee7bb3606808f/logs/debug-internal.log
2025-05-26 11:11:16,920 INFO    MainThread:1 [wandb_init.py:init():495] calling init triggers
2025-05-26 11:11:16,920 INFO    MainThread:1 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2025-05-26 11:11:16,921 INFO    MainThread:1 [wandb_init.py:init():548] starting backend
2025-05-26 11:11:16,921 INFO    MainThread:1 [wandb_init.py:init():552] setting up manager
2025-05-26 11:11:16,924 INFO    MainThread:1 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-26 11:11:16,926 INFO    MainThread:1 [wandb_init.py:init():558] backend started and connected
2025-05-26 11:11:16,928 INFO    MainThread:1 [wandb_init.py:init():636] updated telemetry
2025-05-26 11:11:16,929 INFO    MainThread:1 [wandb_init.py:init():700] starting run threads in backend
2025-05-26 11:11:16,999 INFO    MainThread:1 [wandb_run.py:_console_start():1962] atexit reg
2025-05-26 11:11:16,999 INFO    MainThread:1 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2025-05-26 11:11:17,000 INFO    MainThread:1 [wandb_run.py:_redirect():1885] Wrapping output streams.
2025-05-26 11:11:17,000 INFO    MainThread:1 [wandb_run.py:_redirect():1907] Redirects installed.
2025-05-26 11:11:17,000 INFO    MainThread:1 [wandb_init.py:init():732] run started, returning control to user process
2025-05-26 11:11:18,222 WARNING MsgRouterThr:1 [router.py:message_loop():76] message_loop has been closed
